material_id,composition,nsites,crystal_system,space_group,volume,density,density_atomic,efermi,energy_per_atom,formation_energy_per_atom,is_gap_direct,band_gap,is_oxide
mp-1029932,Li4V4N8,16,3,33,179.76813243281472,3.173721519615246,11.23550827705092,3.02861892,-9.70941348375,-1.025967612291667,0.0,1.3312,0.0
mp-19440,Li4V4O12,20,4,15,293.78309915898933,2.393861855937532,14.689154957949466,-1.437914699999999,-7.5945367915,-2.427194401166667,0.0,2.8357,1.0
mp-26227,Li4V4P8O28,44,4,15,506.387899981432,3.040798071303451,11.50881590866891,2.51892355,-7.851035802954545,-2.718353710010822,0.0,2.1466,1.0
mp-26127,Li4V4P4O16,28,3,63,295.667794444939,3.433851289866513,10.559564087319249,4.9905589,-7.813832311785714,-2.642382814353741,0.0,2.777299999999999,1.0
mp-26963,Li4V4P4O20,32,3,62,350.8850544978658,3.196345178908732,10.965157953058306,2.461679359999999,-7.8098087290625,-2.666295293184523,0.0,1.5636,1.0
mp-850189,Li2V2Sn2O8,14,3,74,169.12652851022693,4.724383142092846,12.080466322159069,3.99362028,-7.301646636428572,-2.331040234761905,0.0,1.4519,1.0
mp-15788,Li1Y1S2,4,6,166,81.09398007889097,3.275801840262089,20.27349501972274,2.93821393,-6.26149185,-2.087808474583332,0.0,1.920399999999999,0.0
mp-15794,Li1Y1Se2,4,6,166,92.09990726618337,4.575354967678076,23.02497681654584,2.3846198,-14.7993274525,-1.968470493697916,0.0,1.523899999999999,0.0
mp-9124,Li1Zn1As1,3,0,216,51.4734034663151,4.75100204634274,17.157801155438367,2.99085436,-3.131120646666666,-0.518190976944444,1.0,0.5518000000000001,0.0
mp-7575,Li1Zn1N1,3,0,216,28.78282869116706,4.982091077680031,9.59427623038902,3.19062686,-7.232156096666666,-0.423469533472221,1.0,0.5187,0.0
mp-10182,Li1Zn1P1,3,0,216,46.29883627834184,3.70577658318684,15.432945426113946,3.19037878,-7.422280926666667,-0.655819149880952,0.0,1.3386,0.0
mp-11175,Li1Zn1P1S4,7,1,82,153.98989737362206,2.497266967183973,21.998556767660293,1.76933536,-4.537172941428571,-0.946090331139454,0.0,2.731199999999999,0.0
mp-1222336,Li2Zn2Rh2F12,18,1,102,214.05590007006765,4.487651576331298,11.891994448337092,0.03770193,-4.857079505555555,-2.410847439259258,0.0,1.5896,0.0
mp-9919,Li2Zn2Sb2,6,2,186,121.3861262867238,5.310775589895061,20.2310210477873,4.47948322,-12.785949791666669,-0.451408208888887,0.0,0.4057,0.0
mp-531611,Mg2Al4B56,62,5,1,485.0670386392511,2.608405062546857,7.8236619135363075,6.15030313,-6.4221320732258125,-0.094887193924735,0.0,0.8259999999999991,0.0
mp-568803,Mg2B24C4,30,3,74,217.5951008007281,2.717643258035155,7.253170026690936,6.12411503,-6.848313568,-0.165613417999999,0.0,2.1397,0.0
mp-3582,Mg8B16C16,40,3,64,380.087796892242,2.444741489642583,9.50219492230605,4.83980964,-6.8296820095,-0.140365101166666,0.0,1.3298,0.0
mp-865185,Mg1Be2As2,5,6,164,79.58497655472777,4.009677000171609,15.916995310945556,4.63641886,-4.001587973999999,-0.311679811999999,0.0,0.404199999999999,0.0
mp-1017628,Mg1Be2P2,5,6,164,71.49090960442201,2.42206802550967,14.298181920884405,5.67672745,-4.453688070000002,-0.465639510857143,0.0,0.6341,0.0
mp-1400392,Mg2Cr4S8,14,0,227,263.5798815031735,3.232593102234777,18.82713439308382,4.21175219,-6.5557852235714265,-1.200070477142852,0.0,0.9995,0.0
mp-1041631,Mg4Cu8O16,28,3,57,271.4331378813932,5.270854558531761,9.694040638621184,3.6699399,-5.725900386428571,-1.494367904285713,0.0,0.3094,1.0
mp-38951,Mg2Ga4O8,14,3,74,141.901169852472,5.330265396073034,10.135797846605143,2.58247152,-6.458567636428568,-2.533066767857139,0.0,2.6624,1.0
mp-667323,Mg6Ga12S24,42,4,15,881.8968652563112,3.298995783839219,20.99754441086456,2.53401062,-4.644154353333333,-1.181282877619046,0.0,2.3518,0.0
mp-20493,Mg2In4S8,14,0,227,315.3876806817142,4.024632099908039,22.5276914772653,3.7635593,-4.4857812839285724,-1.099744745119047,1.0,1.764399999999999,0.0
mp-1006591,Mg4In8Se16,28,5,2,784.2037323163396,4.826009216312936,28.007276154154987,3.257754299999999,-4.02157639964286,-1.002653055029763,0.0,0.798099999999999,0.0
mp-1222182,Mg1In2Te4,7,1,82,253.3950353475435,5.008851451897298,36.19929076393479,3.2255144,-3.536231495714283,-0.7187970564285681,1.0,1.4769,0.0
mp-27219,Mg4Sb8O16,28,1,135,427.5114740346541,5.155458264365747,15.268266929809077,4.14985307,-6.40624730678571,-2.166202090357139,1.0,2.5763,1.0
mp-3653,Mg2Sb4O12,18,1,136,201.3743700112986,6.000164250606553,11.1874650006277,5.14520372,-6.621298827777778,-2.223938991666667,1.0,1.037499999999999,1.0
mp-14307,Mg2Sc4S8,14,0,227,303.7541893050832,2.65110575046383,21.69672780750594,2.98419924,-6.471187339285714,-2.064209268571427,1.0,1.5651000000000002,0.0
mp-567224,Mg4Si8B48,60,3,62,563.3591844402094,2.478408842903308,9.389319740670157,6.17587408,-6.278089828833333,-0.102502673833332,0.0,2.0585,0.0
mp-29624,Mg2Al2Se5,9,6,164,213.7808019525173,3.863337670279202,23.753422439168585,2.61202343,-4.440237045555555,-1.303387147968749,1.0,1.936099999999999,0.0
mp-568556,Mg4B48C2,54,1,118,406.5429782996535,2.614794387515776,7.528573672215805,5.67962493,-6.529043086481482,-0.129227974537037,0.0,2.816,0.0
mp-642660,Mg4Co2H10,16,1,129,127.11642919972115,2.94137109664556,7.944776824982572,3.98725458,-3.775392379375,-0.354118761406249,0.0,0.194699999999999,0.0
mp-23804,Mg2Fe1H6,9,0,225,64.16513438568785,2.859714273790479,7.129459376187539,2.93462837,-3.963834401111111,-0.396949970833333,0.0,1.913999999999999,0.0
mp-408,Mg2Ge1,3,0,225,64.57586863742208,3.117888556106423,21.52528954580736,3.3800771,-7.747424976666667,-0.343896726666667,0.0,0.1689,0.0
mp-17441,Mg8Ge4S16,28,3,62,576.2127932907068,2.87616732798458,20.57902833181096,2.84274628,-4.751432621071429,-1.260374598928571,0.0,2.58,0.0
mp-1192564,Mg8Ge4Se16,28,3,62,672.0344668586747,4.320046404839095,24.00123095923838,3.54133469,-4.219532437857143,-1.095587609910714,0.0,1.493799999999999,0.0
mp-770423,Mg4Mn6O16,26,3,31,263.01723725582224,4.311049342432729,10.116047586762392,2.50930698,-7.656075331538462,-2.246023489522547,0.0,1.399499999999999,1.0
mp-697331,Mg8Ni4H16,28,4,15,265.92164711730936,2.780915125493409,9.497201682761048,3.37825895,-3.5636289725,-0.3319514775,0.0,1.571899999999999,0.0
mp-1029378,Mg4Sb2N6,12,3,36,162.56372011843297,4.339000831823242,13.54697667653608,4.47291607,-5.947336907500002,-0.546541156666669,1.0,0.000199999999999,0.0
mp-1367,Mg2Si1,3,0,225,63.69904837788204,1.999337152211547,21.23301612596068,3.40203031,-3.004018116666666,-0.108598763333333,0.0,0.217999999999999,0.0
mp-1193963,Mg8Si4S16,28,3,62,559.8940879583741,2.4314356731685223,19.99621742708479,6.22807774,-5.012553085,-1.406882180714285,1.0,2.969099999999999,0.0
