material_id,composition,nsites,crystal_system,space_group,volume,density,density_atomic,efermi,energy_per_atom,formation_energy_per_atom,is_gap_direct,band_gap
mp-1216797,Ti1 Tl2 Te3 O12,18,Monoclinic,5,258.6944065783514,6.620645008046826,14.371911476575077,3.09670542,-6.285975927222219,-1.7613155944444432,False,1.6058
mp-17986,Ti4 Tl8 O12,24,Orthorhombic,62,468.0104628146787,7.161898160216908,19.500435950611614,2.33782442,-6.8345905920833285,-2.254204047916664,False,2.0959
mp-1101020,Ti2 Tl10 F18,30,Orthorhombic,26,568.9813243735404,7.242225791056071,18.96604414578468,3.45651134,-5.094430657000002,-2.629262392000004,True,2.8612
mp-1208295,Ti8 Tl8 As8 O40,64,Orthorhombic,33,999.9350043873277,5.4093105026866475,15.623984443551995,1.54057289,-7.26878717890625,-2.309175717552085,False,2.8120000000000003
mp-9344,Ti2 Tl2 Cu2 Te6,12,Monoclinic,11,336.20614344459364,6.900804584038706,28.017178620382804,5.719918,-4.640324464166666,-0.6743097169444441,False,0.017899999999999
mp-6706,Ti8 Tl8 P8 O40,64,Orthorhombic,33,922.3816574007052,5.231177427899962,14.412213396886019,2.27630312,-7.839091948281251,-2.786311612819942,False,2.748
mp-1542940,Ti2 Tl2 P2 S10,16,Monoclinic,12,433.2135538417105,3.400311642483385,27.075847115106907,2.9819947300000003,-5.57792570625,-1.031146269226191,False,1.1811
mp-752445,Ti4 V8 O28,40,Cubic,205,632.404360154983,2.749121630419838,15.810109003874576,-0.50011998,-8.7615947285,-2.691691609333334,False,2.1462
mp-2713749,Ti6 Zn6 S18 O72,102,Trigonal,161,1436.2772402369976,2.784892658811554,14.081149414088213,-0.04804424,-6.873823073725491,-2.112302697892158,True,2.2227
mp-1016108,Ti4 Zn4 N8,16,Orthorhombic,33,192.46127318774413,4.876130444541075,12.028829574234008,2.89351753,-7.48594844625,-1.028000667083334,False,2.342
mp-972032,Tl2 I6 O18,26,Trigonal,148,405.6788704709502,5.968684550753627,15.60303347965193,2.47840695,-4.807164563076924,-0.847536947179489,False,2.1696
mp-29741,Tl4 Cd6 Sb6,16,Monoclinic,12,478.74180986330526,7.709053822738042,29.92136311645658,4.16157222,-30.58868309875,-0.11461817125000001,False,0.040199999999999
mp-978990,Tl4 I6 O18,28,Triclinic,2,486.10932055603104,6.377458699253767,17.361047162715394,2.71832241,-4.784243007142856,-0.9380550697619051,False,1.9192
mp-1199667,Tl8 Re12 S24,44,Monoclinic,15,998.6882646269855,7.713542179598569,22.697460559704215,5.8295334400000005,-6.863849605454546,-0.7804455817424251,False,1.4307
mp-616190,Tl8 Re12 Se24,44,Monoclinic,15,1085.9366798865844,8.81481189414014,24.680379088331463,3.9146597400000003,-32.271409338863634,-0.502335278125,False,1.1345
mp-553909,Tl8 Se12 O36,56,Monoclinic,14,888.5963560318829,5.902477777659744,15.86779207199791,0.84281174,-5.473752698928572,-1.205015005264139,False,2.2182
mp-1208398,Tl8 Se12 O48,68,Monoclinic,14,1120.197379249767,4.966742373044783,16.473490871320102,-0.28782617,-5.475446546617647,-1.086845915658701,False,1.4303
mp-29898,Tl4 Au8 S6,18,Orthorhombic,59,442.97659232133674,9.692571714625545,24.609810684518706,3.00416756,-3.7700052150000003,-0.408499555462964,True,1.1385
mp-16183,Tl4 B4 Se14,22,Monoclinic,15,588.261975361222,5.550215058547691,26.739180698237362,2.33581402,-20.39927849727273,-0.28725675440341003,False,1.2951000000000001
mp-559093,Tl8 Bi4 P8 S28,48,Monoclinic,15,1330.445859697199,4.5139021500401295,27.71762207702498,2.50459651,-4.707146878541667,-0.6711099979960321,False,2.1415
mp-570443,Tl6 C3 N6,15,Triclinic,2,319.4535504944987,6.998524407600166,21.29690336629991,2.34026478,-6.160835668000001,-0.031202624833338,False,1.892199999999999
mp-543045,Tl4 C2 O6,12,Monoclinic,12,214.84055268706427,7.246490678589819,17.90337939058869,1.7432722200000002,-6.295467344166667,-1.492885220694447,False,2.9095
mp-680294,Tl64 Cl96,160,Orthorhombic,62,5027.449712848124,5.444581133498326,31.421560705300777,1.78668815,-3.327889332187499,-1.270174805520836,True,1.878899999999999
mp-1208175,Tl4 Co2 I8,14,Monoclinic,11,565.1383622835484,5.731527745307791,40.367025877396316,2.90397129,-3.191451445714286,-0.6239641009523841,False,0.7544000000000001
mp-9754,Tl8 Cr12 O48,68,Orthorhombic,60,989.9129645986143,5.077654963006656,14.557543597038446,-0.36416526,-6.910851972794112,-1.435697931421563,False,1.7286000000000001
mp-557143,Tl8 Cu4 C8 O24,44,Monoclinic,14,663.4740418882906,5.929924653784189,15.07895549746115,2.79878961,-6.664424892272728,-1.483765990606062,False,0.167999999999999
mp-558944,Tl2 Cu3 Se6 O18,29,Triclinic,2,442.31217239238,5.11007655142249,15.252143875599309,2.2876742,-5.532308595172414,-1.150262691749282,False,0.16409999999999902
